"Company","Date","Close"
"Apple",2017-03-20,141.46
"Google",2017-03-20,867.91
"Amazon",2017-03-20,856.97
"Facebook",2017-03-20,139.94
"Baidu",2017-03-20,176.13
"Alibaba",2017-03-20,107.25
"Tencent(HK)",2017-03-20,228.2
"Apple",2017-03-21,139.84
"Google",2017-03-21,850.14
"Amazon",2017-03-21,843.2
"Facebook",2017-03-21,138.51
"Baidu",2017-03-21,171.4
"Alibaba",2017-03-21,105.09
"Tencent(HK)",2017-03-21,228.8
"Apple",2017-03-22,141.42
"Google",2017-03-22,849.8
"Amazon",2017-03-22,848.06
"Facebook",2017-03-22,139.59
"Baidu",2017-03-22,169.56
"Alibaba",2017-03-22,106.09
"Tencent(HK)",2017-03-22,225.2
"Apple",2017-03-23,140.92
"Google",2017-03-23,839.65
"Amazon",2017-03-23,847.38
"Facebook",2017-03-23,139.53
"Baidu",2017-03-23,169.61
"Alibaba",2017-03-23,108.25
"Tencent(HK)",2017-03-23,223
"Apple",2017-03-24,140.64
"Google",2017-03-24,835.14
"Amazon",2017-03-24,845.61
"Facebook",2017-03-24,140.34
"Baidu",2017-03-24,168.26
"Alibaba",2017-03-24,108.04
"Tencent(HK)",2017-03-24,225.2
"Apple",2017-03-27,140.88
"Google",2017-03-27,838.51
"Amazon",2017-03-27,846.82
"Facebook",2017-03-27,140.32
"Baidu",2017-03-27,168.93
"Alibaba",2017-03-27,108.08
"Tencent(HK)",2017-03-27,224.8
"Apple",2017-03-28,143.8
"Google",2017-03-28,840.63
"Amazon",2017-03-28,856
"Facebook",2017-03-28,141.76
"Baidu",2017-03-28,169.79
"Alibaba",2017-03-28,107.8
"Tencent(HK)",2017-03-28,226
"Apple",2017-03-29,144.12
"Google",2017-03-29,849.87
"Amazon",2017-03-29,874.32
"Facebook",2017-03-29,142.65
"Baidu",2017-03-29,170.66
"Alibaba",2017-03-29,109.51
"Tencent(HK)",2017-03-29,228
"Apple",2017-03-30,143.93
"Google",2017-03-30,849.48
"Amazon",2017-03-30,876.34
"Facebook",2017-03-30,142.41
"Baidu",2017-03-30,172.36
"Alibaba",2017-03-30,108.85
"Tencent(HK)",2017-03-30,225.2
"Apple",2017-03-31,143.66
"Google",2017-03-31,847.8
"Amazon",2017-03-31,886.54
"Facebook",2017-03-31,142.05
"Baidu",2017-03-31,172.52
"Alibaba",2017-03-31,107.83
"Tencent(HK)",2017-03-31,222.8
"Apple",2017-04-03,143.7
"Google",2017-04-03,856.75
"Amazon",2017-04-03,891.51
"Facebook",2017-04-03,142.28
"Baidu",2017-04-03,175
"Alibaba",2017-04-03,108.09
"Tencent(HK)",2017-04-03,225.2
"Apple",2017-04-04,144.77
"Google",2017-04-04,852.57
"Amazon",2017-04-04,906.83
"Facebook",2017-04-04,141.73
"Baidu",2017-04-04,175.2
"Alibaba",2017-04-04,107.52
"Apple",2017-04-05,144.02
"Google",2017-04-05,848.91
"Amazon",2017-04-05,909.28
"Facebook",2017-04-05,141.85
"Baidu",2017-04-05,172.92
"Alibaba",2017-04-05,107.44
"Tencent(HK)",2017-04-05,228.8
"Apple",2017-04-06,143.66
"Google",2017-04-06,845.1
"Amazon",2017-04-06,898.28
"Facebook",2017-04-06,141.17
"Baidu",2017-04-06,173.38
"Alibaba",2017-04-06,108.04
"Tencent(HK)",2017-04-06,228
"Apple",2017-04-07,143.34
"Google",2017-04-07,842.1
"Amazon",2017-04-07,894.88
"Facebook",2017-04-07,140.78
"Baidu",2017-04-07,172.44
"Alibaba",2017-04-07,108.99
"Tencent(HK)",2017-04-07,227.2
"Apple",2017-04-10,143.17
"Google",2017-04-10,841.7
"Amazon",2017-04-10,907.04
"Facebook",2017-04-10,141.04
"Baidu",2017-04-10,174.22
"Alibaba",2017-04-10,111.7
"Tencent(HK)",2017-04-10,226.4
"Apple",2017-04-11,141.63
"Google",2017-04-11,839.88
"Amazon",2017-04-11,902.36
"Facebook",2017-04-11,139.92
"Baidu",2017-04-11,173.01
"Alibaba",2017-04-11,110.44
"Tencent(HK)",2017-04-11,225
"Apple",2017-04-12,141.8
"Google",2017-04-12,841.46
"Amazon",2017-04-12,896.23
"Facebook",2017-04-12,139.58
"Baidu",2017-04-12,173.61
"Alibaba",2017-04-12,110.63
"Tencent(HK)",2017-04-12,231
"Apple",2017-04-13,141.05
"Google",2017-04-13,840.18
"Amazon",2017-04-13,884.67
"Facebook",2017-04-13,139.39
"Baidu",2017-04-13,172.61
"Alibaba",2017-04-13,110.21
"Tencent(HK)",2017-04-13,230.6
"Apple",2017-04-17,141.83
"Google",2017-04-17,855.13
"Amazon",2017-04-17,901.99
"Facebook",2017-04-17,141.42
"Baidu",2017-04-17,173.31
"Alibaba",2017-04-17,111.76
"Apple",2017-04-18,141.2
"Google",2017-04-18,853.99
"Amazon",2017-04-18,903.78
"Facebook",2017-04-18,140.96
"Baidu",2017-04-18,174.47
"Alibaba",2017-04-18,111.23
"Tencent(HK)",2017-04-18,228
"Apple",2017-04-19,140.68
"Google",2017-04-19,856.51
"Amazon",2017-04-19,899.2
"Facebook",2017-04-19,142.27
"Baidu",2017-04-19,177.81
"Alibaba",2017-04-19,110.76
"Tencent(HK)",2017-04-19,230.2
"Apple",2017-04-20,142.44
"Google",2017-04-20,860.08
"Amazon",2017-04-20,902.06
"Facebook",2017-04-20,143.8
"Baidu",2017-04-20,178.64
"Alibaba",2017-04-20,112.96
"Tencent(HK)",2017-04-20,236.6
"Apple",2017-04-21,142.27
"Google",2017-04-21,858.95
"Amazon",2017-04-21,898.53
"Facebook",2017-04-21,143.68
"Baidu",2017-04-21,178.08
"Alibaba",2017-04-21,113.11
"Tencent(HK)",2017-04-21,236.4
"Apple",2017-04-24,143.64
"Google",2017-04-24,878.93
"Amazon",2017-04-24,907.41
"Facebook",2017-04-24,145.47
"Baidu",2017-04-24,180.03
"Alibaba",2017-04-24,114.86
"Tencent(HK)",2017-04-24,238
"Apple",2017-04-25,144.53
"Google",2017-04-25,888.84
"Amazon",2017-04-25,907.62
"Facebook",2017-04-25,146.49
"Baidu",2017-04-25,186.99
"Alibaba",2017-04-25,115.48
"Tencent(HK)",2017-04-25,242.8
"Apple",2017-04-26,143.68
"Google",2017-04-26,889.14
"Amazon",2017-04-26,909.29
"Facebook",2017-04-26,146.56
"Baidu",2017-04-26,186.67
"Alibaba",2017-04-26,114.97
"Tencent(HK)",2017-04-26,241.6
"Apple",2017-04-27,143.79
"Google",2017-04-27,891.44
"Amazon",2017-04-27,918.38
"Facebook",2017-04-27,147.7
"Baidu",2017-04-27,187.86
"Alibaba",2017-04-27,115.43
"Tencent(HK)",2017-04-27,244.6
"Apple",2017-04-28,143.65
"Google",2017-04-28,924.52
"Amazon",2017-04-28,924.99
"Facebook",2017-04-28,150.25
"Baidu",2017-04-28,180.23
"Alibaba",2017-04-28,115.5
"Tencent(HK)",2017-04-28,243.4
"Apple",2017-05-01,146.58
"Google",2017-05-01,932.82
"Amazon",2017-05-01,948.23
"Facebook",2017-05-01,152.46
"Baidu",2017-05-01,180.06
"Alibaba",2017-05-01,116.68
"Apple",2017-05-02,147.51
"Google",2017-05-02,937.09
"Amazon",2017-05-02,946.94
"Facebook",2017-05-02,152.78
"Baidu",2017-05-02,178.64
"Alibaba",2017-05-02,118.09
"Tencent(HK)",2017-05-02,248.4
"Apple",2017-05-03,147.06
"Google",2017-05-03,948.45
"Amazon",2017-05-03,941.03
"Facebook",2017-05-03,151.8
"Baidu",2017-05-03,177.4
"Alibaba",2017-05-03,116.57
"Apple",2017-05-04,146.53
"Google",2017-05-04,954.72
"Amazon",2017-05-04,937.53
"Facebook",2017-05-04,150.85
"Baidu",2017-05-04,176.71
"Alibaba",2017-05-04,115.86
"Tencent(HK)",2017-05-04,243.8
"Apple",2017-05-05,148.96
"Google",2017-05-05,950.28
"Amazon",2017-05-05,934.15
"Facebook",2017-05-05,150.24
"Baidu",2017-05-05,178.03
"Alibaba",2017-05-05,116.04
"Tencent(HK)",2017-05-05,243.8
"Apple",2017-05-08,153.01
"Google",2017-05-08,958.69
"Amazon",2017-05-08,949.04
"Facebook",2017-05-08,151.06
"Baidu",2017-05-08,177.47
"Alibaba",2017-05-08,116.86
"Tencent(HK)",2017-05-08,244.8
"Apple",2017-05-09,153.99
"Google",2017-05-09,956.71
"Amazon",2017-05-09,952.82
"Facebook",2017-05-09,150.48
